First Name,Last Name,Full Name,Position,Formatted DOB,Date of Birth,Birth Place,Nationality,Gender,Email,Address,Phone Number,Phone Number 2,House,Additional Information,RCA (Partner),Source,Official Websites,Unofficial Websites,Thread,Date of Data,3rd Party Check - Record Exists,3rd Party Check - Last Name,3rd Party Check - First Name,3rd Party Check - DOB,3rd Party Check - Place of Birth,3rd Party Check - Nationality,3rd Party Check - Gender
Wilton,Simpson,Wilton Simpson,Commissioner of Agriculture,28/06/1966,6/28/1966,"Lakeland, Florida",USA,M,Wilton.Simpson@FDACS.gov,"409 The Capitol
404 South Monroe Street
Tallahassee
TL 32399-1100",(850) 617-7700,NA,Republican,"Wilton Simpson is a Republican politician who has served as the Florida Commissioner of Agriculture since 2023.
Prior to becoming Commissioner, he served as a member of the Florida State Senate from 2012 to 2022, representing the 10th district. He was elected Senate President for the 2020-2022 term.
Simpson is a lifelong Florida farmer and entrepreneur, with deep roots in the state's agricultural industry. He owns a large-scale egg-laying operation that supplies eggs across Florida.
He has been involved in the local community, serving on boards for organizations like the Moffitt Cancer Center, PACE Center for Girls, and Hernando County schools.
Simpson has been endorsed by prominent Republican figures like former President Donald Trump, Florida Attorney General Ashley Moody, and Florida CFO Jimmy Patronis.
He was elected Florida Commissioner of Agriculture in 2022, defeating Democrat Naomi Blemur in the general election.",Kathryn,LLM,,,,,Wilton SIMPSON,SIMPSON,Wilton,28/06/1966,"Lakeland, Florida, USA",USA,M
Nikki,Fried,Nikki Fried,12th Commissioner of Agriculture,30/12/1899,,,,M,,,,,Democrat,,,,,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Deborah,Tannenbaum,Deborah Tannenbaum,Deputy Commissioner of Agriculture,30/12/1899,,,,,,,,,,,,,,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Joey,Hicks,Joey Hicks,FDACS Administration Division Director,30/12/1899,,,,,Administration@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Administration
The Mayo Building
Fifth Floor, M12
407 S. Calhoun St.
Tallahassee, FL 32399-0800",(850) 617-7000,,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Administration,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Kelly,Friend,Kelly Friend,FDACS Agricultural Enviornmental Services Division Director,30/12/1899,,,,,AESCares@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Agricultural Environmental Services
3125 Conner Blvd., Ste. E
Tallahassee, FL 32399-1650",850-617-7900,,,,,,,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Short,Michael,Short Michael,FDACS Animal Industry Division Director,30/12/1899,,,,M,AnimalIndustry@FDACS.gov,"Florida Department of Agriculture and Consumer Services
407 S. Calhoun St.
Mail Stop M7
Tallahassee, FL 32399-0800",(850) 410-0900,(850) 410-0957,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Animal-Industry,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Portia,Sapp,Portia Sapp,FDACS Aquaculture Division Director,30/12/1899,,,,,Aquaculture_web@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Aquaculture
600 S. Calhoun St., Ste. 217
Tallahassee, FL 32399",(850) 617-7600,(850) 617-7601,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Aquaculture,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Rick,Kimsey,Rick Kimsey,FDACS Consumer Services Division Director,30/12/1899,,,,,CSWebmaster@FDACS.gov,"FDACS-Division of Consumer Services
P.O. Box 6700
Tallahassee, FL 32399-6700",(850) 410-3800,,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Consumer-Services,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Rick,Dolan,Rick Dolan,FDACS Florida Forest Service Division Director,30/12/1899,,,,,FFSsupport@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Florida Forest Service
3125 Conner Blvd.
Tallahassee, FL 32399-1650",850-681-5800,,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Florida-Forest-Service,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Vianka,Colin,Vianka Colin,"FDACS Food, Nutrition and Wellness Division Director",30/12/1899,,,,,InfoFNW@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Food, Nutrition and Wellness
The Holland Building
600 S. Calhoun St. (H2)
Tallahassee, FL 32399",1-800-504-6609,(850) 617-7400,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Food-Nutrition-and-Wellness,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Curran,Matthew,Curran Matthew,FDACS Food Safety Division Director,30/12/1899,,,,,FoodSafety@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Food Safety
3125 Conner Blvd., Ste. D
Tallahassee, FL 32399-1650",(850) 245-5520,(850) 245-5553,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Food-Safety,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Lisa,Jensen,Lisa Jensen,FDACS Fruit and Vegetables Division Director,30/12/1899,,,,,FruitAndVegetables@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Fruit and Vegetables
170 Century Blvd.
Bartow, FL 33830-7700",(863) 578-1900,(863) 578-1901,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Fruit-and-Vegetables,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
,, ,FDACS Licensing Division Director,30/12/1899,,,,,,,(850) 245-5665,,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Licensing,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Susie,McKinley,Susie McKinley,FDACS Marketing and Development Division Director,30/12/1899,,,,,Marketing@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Marketing and Development
407 S. Calhoun St. 
Tallahassee, FL 32399-0800",(850) 617-7300,(850) 617-7301,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Marketing-and-Development,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Smith,Trevor,Smith Trevor,FDACS Plant Industry Division Director,30/12/1899,,,,,PlantIndustry@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Division of Plant Industry
The Doyle Conner Building
1911 SW 34th St.
Gainesville, FL 32608-7100",(352) 395-4700,(352) 395-4610,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Plant-Industry,,,13 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Colonel,Rick,Colonel Rick,FDACS Agricultural Law Enforcement Director,30/12/1899,,,,,AgLaw@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Office of Agricultural Law Enforcement
The Terry L. Rhodes Building, Ste. B
2005 Apalachee Pkwy.
Tallahassee, FL 32399-6500",1-800-342-5869,(850) 245-1330,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Agricultural-Law-Enforcement,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Gregory,West,Gregory West,FDACS Agricultural Water Policy Director,30/12/1899,,,,,West.gregory@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Office of Agricultural Water Policy
Leon County Annex Building
315 S. Calhoun Street, 7th Floor
Tallahassee, FL 32399",(850) 617-1700,(850) 617-1701 ,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Agricultural-Water-Policy,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
India,Steinbaugh,India Steinbaugh,FDACS Cabinet Affairs Director,30/12/1899,,,,,Cabinet.Affairs@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Office of Cabinet Affairs
Plaza Level 10, The Capitol
400 South Monroe Street
Tallahassee, Florida 32399-0800",(850) 617-7700,,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Cabinet-Affairs,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
,, ,FDACS Communications Director,30/12/1899,,,,,Communications@FDACS.gov,,,,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Communications,,,12 Jun 2024,not found,not found,not found,not found,not found,not found,not found
Brooks,Rumenik,Brooks Rumenik,FDACS Office of Energy Director,30/12/1899,,,,,Energy@FDACS.gov,"Florida Department of Agriculture and Consumer Services
Office of Energy
600 S. Calhoun St., Ste. B04
Tallahassee, FL 32399-1300",(850) 617-7470,(850) 617-7471,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Energy,,,,not found,not found,not found,not found,not found,not found,not found
Sean,Garner,Sean Garner,FDACS Office of General Counsel Director,30/12/1899,,,,,,,850-245-1000,,,,,,,,,,not found,not found,not found,not found,not found,not found,not found
Angela,Roddenberry,Angela Roddenberry,FDACS Office of Inspector General Director,30/12/1899,,,,,OIG@FDACS.gov,(850) 245-1360,(850) 245-1370,,,,,Official website,https://www.fdacs.gov/Divisions-Offices/Inspector-General,,,,not found,not found,not found,not found,not found,not found,not found
Walsh,Rosa,Walsh Rosa,FDACS Director of Scientific Research,30/12/1899,,,,,,,,,,,,,,,,,not found,not found,not found,not found,not found,not found,not found
Christine,Marion,Christine Marion,FDACS Deputy Executive Director of Administration and Finance,30/12/1899,,,,,,,,,,,,,,,,,not found,not found,not found,not found,not found,not found,not found
,, ,,,,,,,,,,,,,,,,,,,not found,not found,not found,not found,not found,not found,not found
,, ,,,,,,,,,,,,,,,,,,,not found,not found,not found,not found,not found,not found,not found
Melanie,Griffin,Melanie Griffin,Department of Business and Professional Regulation Secretary,,NA,Florida,USA,F,NA,NA,NA,NA,Republican,"Based on the provided search results, here are the key details about Melanie S. Griffin, the Secretary of the Florida Department of Business and Professional Regulation: Gender: Female (referred to with she/her pronouns) Nationality: USA (described as a ""proud native Floridian"") Place of Birth: Not explicitly stated, but likely Florida since described as a native Floridian. Date of Birth: Not provided in the search results. Current Residence: Tampa, Florida Spouse: Husband named Mike Griffin Children: One son named Maverick In summary, Melanie S. Griffin is a female USA who currently resides in Tampa, Florida with her husband Mike and son Maverick. She is a native Floridian, though her exact place and date of birth are not mentioned in the provided search results.

Melanie S. Griffin is the current Secretary of the Florida Department of Business and Professional Regulation (DBPR), appointed by Governor Ron DeSantis in December 2021. As Secretary, she leads the regulation of over 1.6 million licensees across more than 30 industries in Florida. Some key facts about Melanie S. Griffin:

    She is an attorney with Shumaker, Loop & Kendrick and has been AV-rated since 2010. Griffin has been honored by Super Lawyers for 13 consecutive years (2010-2022), Florida Trend Legal Elite for 10 years (2010-2018, 2021), and Best Lawyers in America for 6 consecutive years (2017-2022).

Griffin is a proud native Floridian and a triple graduate of Florida State University, earning a bachelor's degree in finance, MBA, and JD.
She is the Founder and Owner of Spread Your Sunshine, a business providing speaking, training, and selling inspirational products and gifts. Griffin is also President of the Hillsborough Association of Women Lawyers and serves on the FSU College of Law Board of Visitors and College of Business Board of Governors.
As a small business owner, Secretary Griffin brings a unique perspective to leading DBPR and serving its clients and constituencies.

In summary, Melanie S. Griffin is an accomplished attorney, business owner, and proud Floridian who currently serves as the Secretary of the state's Department of Business and Professional Regulation.",Mike Griffin,LLM,"https://fsbdcswfl.org/melanie-griffin-secretary-of-the-florida-department-of-business-and-professional-regulation-confirmed-as-g-l-o-w-keynote-speaker/
https://www.flgov.com/2021/12/22/governor-ron-desantis-appoints-melanie-griffin-as-secretary-of-the-florida-department-of-business-and-professional-regulation/
https://www2.myfloridalicense.com/about-us/departments-secretary/",https://www.ficpa.org/instructor-bio/66881,,,not found,not found,not found,not found,not found,not found,not found
Shevuan,Harris,Shevuan Harris,Department of Children and Families Secretary,,NA,NA,USA,F,shevaun.harris@myflfamilies.com,NA,850-300-4323,,NA,"Shevaun Harris is the current Secretary of the Florida Department of Children and Families (DCF) in Florida. Some key facts about her:

    Shevaun Harris has served as Secretary of DCF since February 2021, when she was appointed by Governor Ron DeSantis.

In November 2022, Governor DeSantis reappointed Harris for a second term as DCF Secretary, stating ""Shevaun Harris has done an excellent job serving Florida's families as Secretary of (DCF)"".
Harris brought an innovative vision and commitment to improving Florida's approach to supporting vulnerable children and families when she took office in 2021. Her leadership focuses on empowering Floridians to thrive independently and harnessing partnerships to support strong families.
Prior to DCF, Harris spent nearly two decades at the Agency for Health Care Administration (AHCA), serving in key roles including Acting Secretary. She focused on administering Florida's multi-billion dollar Medicaid program.
Harris has a Master of Business Administration from Quinnipiac University and is a two-time graduate of Florida State University, with a Master of Social Work degree and a bachelor's in psychology.

So in summary, Shevaun Harris, an experienced health and human services administrator, has been the Secretary of the Florida Department of Children and Families since 2021 and was recently reappointed to a second term in that role by Governor DeSantis.

Here is the contact information for Shevaun Harris, Secretary of the Florida Department of Children and Families: Email: shevaun.harris@myflfamilies.com The search results do not provide any other direct contact details like a phone number or mailing address for Secretary Harris. As the head of a major state government agency, her contact information is likely limited for privacy and security reasons. The results focus on Harris' background, including her previous roles at the Florida Agency for Health Care Administration and her education at Florida State University and Quinnipiac University. However, they do not contain any additional personal contact information beyond the email address listed above.",NA,LLM,"https://csw.fsu.edu/article/graduate-reappointed-secretary-florida-department-children-and-families
https://www.myflfamilies.com/about/additional-services-offices/office-secretary","https://en.wikipedia.org/wiki/Florida_Department_of_Children_and_Families
https://careersourceflorida.com/team/shavaun-harris/
https://x.com/SHarrisFL",,,not found,not found,not found,not found,not found,not found,not found
Ricky,Dixon,Ricky Dixon,Department of Corrections Secretary,,NA,NA,NA,M,NA,NA,NA,,NA,"Ricky D. Dixon is the current Secretary of the Florida Department of Corrections, appointed by Governor Ron DeSantis in November 2021. He is responsible for overseeing the third largest state prison system in the country with a budget of $2.9 billion, approximately 80,000 inmates and 146,000 offenders on community supervision. The search results do not provide specific details about Ricky D. Dixon's gender, nationality, place of birth, date of birth, current residence, wife, or children. However, they do offer some additional biographical information:

    Dixon earned a BA in criminology from Florida Gulf Coast University in 2000 and graduated from the Florida Department of Law Enforcement's Executive Seminar

.
He began his career as a Correctional Officer at Lancaster Correctional Institution in 1996 and worked his way up through various positions, including Correctional Officer Colonel of Florida State Prison, Assistant Warden, Warden, Regional Director of Institutions, Deputy Secretary, and Deputy Assistant Secretary of Institutions
.
Dixon is nationally recognized by the USA Correctional Association and the National Institute of Corrections as an expert in corrections
.
He holds membership and affiliations with several professional organizations related to corrections and law enforcement

    .

The search results do not mention any relation between Ricky D. Dixon and Rickey Dixon, the former USA football safety who played in the NFL and was inducted into the College Football Hall of Fame.",NA,"LLM
https://www.perplexity.ai/search/Who-is-Ricky-qkRQ26qJTGGi6Yi7ssHE.g",https://fdc.myflorida.com/secretary.html,https://en.wikipedia.org/wiki/Ricky_D._Dixon,,,not found,not found,not found,not found,not found,not found,not found
